ID,State,City,Sex,Mass
31257,Texas,Arlington,F,4.05
31258,Texas,Arlington,M,4.34
31259,Texas,Arlington,F,3.47
31260,Texas,Arlington,M,3.75
31261,Texas,Arlington,F,3.25
31262,Texas,Arlington,SM,2.09
31263,Texas,Arlington,M,5.56
31264,Texas,Arlington,F,2.81
31265,Texas,Arlington,M,5.24
31266,Texas,Arlington,F,2.75
31267,Oklahoma,Cedar Creek,F,4.07
31268,Oklahoma,Cedar Creek,M,5.51
31269,Oklahoma,Cedar Creek,F,2.67
31270,Oklahoma,Cedar Creek,M,6.11
31271,Oklahoma,Cedar Creek,SM,2.4
31272,Oklahoma,Cedar Creek,SM,2.08
31273,Oklahoma,Cedar Creek,F,3.65
31274,Oklahoma,Cedar Creek,M,4.17
31275,Oklahoma,Cedar Creek,M,5.45
31276,Oklahoma,Cedar Creek,M,5.79
31277,Oklahoma,Cedar Creek,M,4.54
31278,Oklahoma,Cedar Creek,F,2.85
31279,Oklahoma,Cedar Creek,F,2.43
31280,Oklahoma,Cedar Creek,F,2.01
31281,Oklahoma,Cedar Creek,J,1.17
31282,Oklahoma,Cedar Creek,F,
31283,Oklahoma,Cedar Creek,SM,
31284,Florida,Miami,M,6.78
31285,Florida,Miami,M,5.21
31286,Florida,Miami,M,3.78
31287,Florida,Miami,M,5.23
31288,Florida,Miami,M,3.08
31289,Florida,Miami,M,4.08
31290,Florida,Miami,F,
31291,Florida,Miami,F,
31292,Florida,Miami,F,
31293,Florida,Miami,F,
Common,,,,
LA,#REF!,,,
LA vs NC,#REF!,,,
LA vs NC,#REF!,,,
LA vs TN,#REF!,,,
LA vs TN,#REF!,,,
LA-001,Louisiana,,J,1.61
LA-005,Louisiana,,J,1.3
LA-006,Louisiana,,J,1.33
LA-007,Louisiana,,J,1.31
NC,#REF!,,,
NC vs TN,#REF!,,,
NC vs TN,#REF!,,,
NC1-001,North Carolina ,,J,1.44
NC2-001,North Carolina ,,J,2.35
NC2-002,North Carolina ,,J,1.56
NC2-003,North Carolina ,,J,1.61
TN,#REF!,,,
TN-001,Tennessee,,J,1.72
TN-002,Tennessee,,J,1.12
TN-003,Tennessee,,J,1.41
TN-004,Tennessee,,J,1.48
TN-005,Tennessee,,J,1.64
TN-006,Tennessee,,J,1.5
TN-007,Tennessee,,J,1.88
TN-008,Tennessee,,J,1.36
Wild,,,,
Wild vs Common,,,,
